PDB_NAME,QUERY_NO,START_TIME,END_TIME,EXECUTION_SECONDS,EXECUTION_DATE
PDB_CONTROL,1,2025-06-11 23:06:15.183,2025-06-11 23:06:15.183,0.0,2025-06-11 23:06:15
PDB_CONTROL,1,2025-06-11 22:58:41.404,2025-06-11 22:58:41.406,0.002,2025-06-11 22:58:41
PDB_CONTROL,1,2025-06-11 23:01:10.048,2025-06-11 23:01:10.049,0.001,2025-06-11 23:01:10
PDB_CONTROL,2,2025-06-11 22:58:42.545,2025-06-11 22:58:42.546,0.001,2025-06-11 22:58:42
PDB_CONTROL,2,2025-06-11 23:01:11.196,2025-06-11 23:01:11.198,0.002,2025-06-11 23:01:11
PDB_CONTROL,2,2025-06-11 23:06:16.333,2025-06-11 23:06:16.334,0.001,2025-06-11 23:06:16
PDB_CONTROL,3,2025-06-11 23:01:12.330,2025-06-11 23:01:12.331,0.001,2025-06-11 23:01:12
PDB_CONTROL,3,2025-06-11 22:58:43.680,2025-06-11 22:58:43.681,0.001,2025-06-11 22:58:43
PDB_CONTROL,3,2025-06-11 23:06:17.467,2025-06-11 23:06:17.468,0.001,2025-06-11 23:06:17
PDB_CONTROL,4,2025-06-11 22:58:44.844,2025-06-11 22:58:44.846,0.002,2025-06-11 22:58:44
PDB_CONTROL,4,2025-06-11 23:06:18.601,2025-06-11 23:06:18.602,0.001,2025-06-11 23:06:18
PDB_CONTROL,4,2025-06-11 23:01:13.449,2025-06-11 23:01:13.451,0.002,2025-06-11 23:01:13
PDB_CONTROL,5,2025-06-11 23:01:14.601,2025-06-11 23:01:14.603,0.002,2025-06-11 23:01:14
PDB_CONTROL,5,2025-06-11 22:58:45.972,2025-06-11 22:58:45.973,0.001,2025-06-11 22:58:45
PDB_CONTROL,5,2025-06-11 23:06:19.759,2025-06-11 23:06:19.760,0.001,2025-06-11 23:06:19
PDB_CONTROL,6,2025-06-11 22:58:47.126,2025-06-11 22:58:47.128,0.002,2025-06-11 22:58:47
PDB_CONTROL,6,2025-06-11 23:01:15.734,2025-06-11 23:01:15.735,0.001,2025-06-11 23:01:15
PDB_CONTROL,6,2025-06-11 23:06:20.931,2025-06-11 23:06:20.932,0.001,2025-06-11 23:06:20
PDB_CONTROL,7,2025-06-11 23:06:22.076,2025-06-11 23:06:22.077,0.001,2025-06-11 23:06:22
PDB_CONTROL,7,2025-06-11 23:01:16.887,2025-06-11 23:01:16.888,0.001,2025-06-11 23:01:16
PDB_CONTROL,7,2025-06-11 22:58:48.256,2025-06-11 22:58:48.257,0.001,2025-06-11 22:58:48
PDB_CONTROL,8,2025-06-11 22:58:49.406,2025-06-11 22:58:49.408,0.002,2025-06-11 22:58:49
PDB_CONTROL,8,2025-06-11 23:06:23.225,2025-06-11 23:06:23.226,0.001,2025-06-11 23:06:23
PDB_CONTROL,9,2025-06-11 23:06:24.377,2025-06-11 23:06:24.377,0.0,2025-06-11 23:06:24
PDB_CONTROL,10,2025-06-11 23:06:25.524,2025-06-11 23:06:25.525,0.001,2025-06-11 23:06:25
PDB_CONTROL,11,2025-06-11 23:06:26.680,2025-06-11 23:06:26.681,0.001,2025-06-11 23:06:26
PDB_CONTROL,12,2025-06-11 23:06:27.826,2025-06-11 23:06:27.827,0.001,2025-06-11 23:06:27
PDB_CONTROL,13,2025-06-11 23:06:28.963,2025-06-11 23:06:28.964,0.001,2025-06-11 23:06:28
PDB_CONTROL,14,2025-06-11 23:06:30.106,2025-06-11 23:06:30.107,0.001,2025-06-11 23:06:30
PDB_CONTROL,15,2025-06-11 23:06:31.245,2025-06-11 23:06:31.246,0.001,2025-06-11 23:06:31
PDB_CONTROL,16,2025-06-11 23:06:32.378,2025-06-11 23:06:32.379,0.001,2025-06-11 23:06:32
PDB_CONTROL,17,2025-06-11 23:06:33.543,2025-06-11 23:06:33.544,0.001,2025-06-11 23:06:33
PDB_CONTROL,18,2025-06-11 23:06:34.684,2025-06-11 23:06:34.685,0.001,2025-06-11 23:06:34
PDB_CONTROL,19,2025-06-11 23:06:35.821,2025-06-11 23:06:35.822,0.001,2025-06-11 23:06:35
PDB_CONTROL,20,2025-06-11 23:06:36.957,2025-06-11 23:06:36.958,0.001,2025-06-11 23:06:36
PDB_CONTROL,21,2025-06-11 23:06:38.117,2025-06-11 23:06:38.118,0.001,2025-06-11 23:06:38
PDB_CONTROL,22,2025-06-11 23:06:39.256,2025-06-11 23:06:39.257,0.001,2025-06-11 23:06:39
PDB_PERF_TUNE,1,2025-06-11 23:06:40.388,2025-06-11 23:06:40.389,0.001,2025-06-11 23:06:40
PDB_PERF_TUNE,2,2025-06-11 23:06:41.530,2025-06-11 23:06:41.531,0.001,2025-06-11 23:06:41
PDB_PERF_TUNE,3,2025-06-11 23:06:42.677,2025-06-11 23:06:42.677,0.0,2025-06-11 23:06:42
PDB_PERF_TUNE,4,2025-06-11 23:06:43.800,2025-06-11 23:06:43.801,0.001,2025-06-11 23:06:43
PDB_PERF_TUNE,5,2025-06-11 23:06:44.939,2025-06-11 23:06:44.940,0.001,2025-06-11 23:06:44
PDB_PERF_TUNE,6,2025-06-11 23:06:46.058,2025-06-11 23:06:46.059,0.001,2025-06-11 23:06:46
PDB_PERF_TUNE,7,2025-06-11 23:06:47.192,2025-06-11 23:06:47.193,0.001,2025-06-11 23:06:47
PDB_PERF_TUNE,8,2025-06-11 23:06:48.314,2025-06-11 23:06:48.314,0.0,2025-06-11 23:06:48
PDB_PERF_TUNE,9,2025-06-11 23:06:49.464,2025-06-11 23:06:49.465,0.001,2025-06-11 23:06:49
PDB_PERF_TUNE,10,2025-06-11 23:06:50.610,2025-06-11 23:06:50.610,0.0,2025-06-11 23:06:50
PDB_PERF_TUNE,11,2025-06-11 23:06:51.752,2025-06-11 23:06:51.752,0.0,2025-06-11 23:06:51
PDB_PERF_TUNE,12,2025-06-11 23:06:52.897,2025-06-11 23:06:52.898,0.001,2025-06-11 23:06:52
